bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1780697,2035,HB1771,1,Introduced,2023-10-19,"In preliminary provisions, further providing for definitions; in registration system, further providing for departmental responsibilities; in voter registration, further providing for methods of voter registration and for application with driver's license application, providing for automatic voter registration and for time and further providing for preparation and distribution of applications and for approval of registration applications; and making a repeal.","An Act amending Title 25 (Elections) of the Pennsylvania Consolidated Statutes, in preliminary provisions, further providing for definitions; in registration system, further providing for departmental responsibilities; in voter registration, further providing for methods of voter registration and for application with driver's license application, providing for automatic voter registration and for time and further providing for preparation and distribution of applications and for approval of registration applications; and making a repeal.",59,"House State Government",2023-10-19,"Referred to STATE GOVERNMENT",https://legiscan.com/PA/bill/HB1771/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1771
1780702,2035,HB1772,2,Engrossed,2023-10-31,"In Nonprofit Security Grant Fund, further providing for Nonprofit Security Grant Fund; and making an appropriation.","An Act amending Title 35 (Health and Safety) of the Pennsylvania Consolidated Statutes, in Nonprofit Security Grant Fund, further providing for Nonprofit Security Grant Fund; and making an appropriation.",66,"Senate Appropriations",2023-11-21,"Referred to APPROPRIATIONS",https://legiscan.com/PA/bill/HB1772/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1772
1780768,2035,HB1773,1,Introduced,2023-10-19,"In personal income tax, further providing for imposition of tax and for amount of withholding tax.","An Act amending the act of March 4, 1971 (P.L.6, No.2), known as the Tax Reform Code of 1971, in personal income tax, further providing for imposition of tax and for amount of withholding tax.",47,"House Finance",2023-10-19,"Referred to FINANCE",https://legiscan.com/PA/bill/HB1773/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1773
1780920,2035,HB1774,1,Introduced,2023-10-19,"In disposition of Commonwealth surplus land, further providing for annual property survey.","An Act amending the act of April 9, 1929 (P.L.177, No.175), known as The Administrative Code of 1929, in disposition of Commonwealth surplus land, further providing for annual property survey.",59,"House State Government",2023-10-19,"Referred to STATE GOVERNMENT",https://legiscan.com/PA/bill/HB1774/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1774
1780825,2035,HB1775,1,Introduced,2023-10-19,"Authorizing the release of Project 70 restrictions on certain land owned by the Pennsylvania Fish and Boat Commission in Overfield Township, Wyoming County.","An Act authorizing the release of Project 70 restrictions on certain land owned by the Pennsylvania Fish and Boat Commission in Overfield Township, Wyoming County.",59,"House State Government",2023-10-19,"Referred to STATE GOVERNMENT",https://legiscan.com/PA/bill/HB1775/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1775
1873195,2035,HB1776,1,Introduced,2024-04-17,"A Joint Resolution proposing integrated and distinct amendments to the Constitution of the Commonwealth of Pennsylvania, repealing provisions relating to Legislative Reapportionment Commission and providing for Independent Redistricting Commission and for redistricting criteria.","A Joint Resolution proposing integrated and distinct amendments to the Constitution of the Commonwealth of Pennsylvania, repealing provisions relating to Legislative Reapportionment Commission and providing for Independent Redistricting Commission and for redistricting criteria.",59,"House State Government",2024-04-17,"Referred to STATE GOVERNMENT",https://legiscan.com/PA/bill/HB1776/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1776
1781009,2035,HB1777,2,Engrossed,2023-12-12,"Further providing for purchase of agricultural conservation easements, for Agricultural Conservation Easement Purchase Fund and for Land Trust Reimbursement Program.","An Act amending the act of June 30, 1981 (P.L.128, No.43), known as the Agricultural Area Security Law, further providing for purchase of agricultural conservation easements, for Agricultural Conservation Easement Purchase Fund and for Land Trust Reimbursement Program.",65,"Senate Agriculture & Rural Affairs",2024-01-05,"Referred to AGRICULTURE AND RURAL AFFAIRS",https://legiscan.com/PA/bill/HB1777/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1777
1780875,2035,HB1778,1,Introduced,2023-10-19,"In safe schools, further providing for definitions and for policy relating to bullying and providing for parental responsibility in bullying.","An Act amending the act of March 10, 1949 (P.L.30, No.14), known as the Public School Code of 1949, in safe schools, further providing for definitions and for policy relating to bullying and providing for parental responsibility in bullying.",44,"House Education",2023-10-19,"Referred to EDUCATION",https://legiscan.com/PA/bill/HB1778/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1778
1780830,2035,HB1779,1,Introduced,2023-10-19,"In safe schools, further providing for definitions, for reporting, for policy relating to bullying and for maintenance of records; and, in Safe2Say Program, further providing for intent, for definitions and for Safe2Say Program and providing for reporting and remediating bullying.","An Act amending the act of March 10, 1949 (P.L.30, No.14), known as the Public School Code of 1949, in safe schools, further providing for definitions, for reporting, for policy relating to bullying and for maintenance of records; and, in Safe2Say Program, further providing for intent, for definitions and for Safe2Say Program and providing for reporting and remediating bullying.",44,"House Education",2023-10-19,"Referred to EDUCATION",https://legiscan.com/PA/bill/HB1779/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1779
1781131,2035,HB1780,1,Introduced,2023-10-24,"In hunting and furtaking licenses, further providing for elk hunting licenses.","An Act amending Title 34 (Game) of the Pennsylvania Consolidated Statutes, in hunting and furtaking licenses, further providing for elk hunting licenses.",48,"House Game & Fisheries",2023-10-24,"Referred to GAME AND FISHERIES",https://legiscan.com/PA/bill/HB1780/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1780
1781466,2035,HB1781,1,Introduced,2023-10-24,"In driving after imbibing alcohol or utilizing drugs, further providing for accelerated rehabilitative disposition and for drug and alcohol assessments.","An Act amending Title 75 (Vehicles) of the Pennsylvania Consolidated Statutes, in driving after imbibing alcohol or utilizing drugs, further providing for accelerated rehabilitative disposition and for drug and alcohol assessments.",0,,2023-11-14,"Laid on the table",https://legiscan.com/PA/bill/HB1781/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1781
1781447,2035,HB1782,1,Introduced,2023-10-24,"In human trafficking, further providing for civil causes of action; in minors, further providing for sexual abuse of children; in computer offenses, further providing for definitions, for duty of Internet service provider and for application for order to remove or disable items; in child protective services, further providing for Task Force on Child Pornography; in recidivism risk reduction incentive, further providing for definitions; in Nonnarcotic Medication Assisted Substance Abuse Treatment Grant Pilot Program, further providing for definitions; in Pennsylvania Board of Probation and Parole, further providing for short sentence parole; and making an editorial change.","An Act amending Titles 18 (Crimes and Offenses), 23 (Domestic Relations) and 61 (Prisons and Parole) of the Pennsylvania Consolidated Statutes, in human trafficking, further providing for civil causes of action; in minors, further providing for sexual abuse of children; in computer offenses, further providing for definitions, for duty of Internet service provider and for application for order to remove or disable items; in child protective services, further providing for Task Force on Child Pornography; in recidivism risk reduction incentive, further providing for definitions; in Nonnarcotic Medication Assisted Substance Abuse Treatment Grant Pilot Program, further providing for definitions; in Pennsylvania Board of Probation and Parole, further providing for short sentence parole; and making an editorial change.",53,"House Judiciary",2023-10-24,"Referred to JUDICIARY",https://legiscan.com/PA/bill/HB1782/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1782
1781272,2035,HB1783,2,Engrossed,2024-06-12,"Providing for substance use overdose awareness, treatment and recovery support and for powers and duties of the Department of Drug and Alcohol Programs; and establishing the Lifetime Recovery from Substance Use Grant Program.","An Act amending Title 35 (Health and Safety) of the Pennsylvania Consolidated Statutes, providing for substance use overdose awareness, treatment and recovery support and for powers and duties of the Department of Drug and Alcohol Programs; and establishing the Lifetime Recovery from Substance Use Grant Program.",3551,"Senate Health & Human Services",2024-06-18,"Referred to HEALTH AND HUMAN SERVICES",https://legiscan.com/PA/bill/HB1783/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1783
1781490,2035,HB1784,1,Introduced,2023-10-24,"In rules of evidence, providing for protection of reproductive health services records.","An Act amending Title 42 (Judiciary and Judicial Procedure) of the Pennsylvania Consolidated Statutes, in rules of evidence, providing for protection of reproductive health services records.",53,"House Judiciary",2023-10-24,"Referred to JUDICIARY",https://legiscan.com/PA/bill/HB1784/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1784
1781479,2035,HB1785,1,Introduced,2023-10-24,"In insurance, providing for adverse actions against legal reproductive health care.","An Act amending the act of March 20, 2002 (P.L.154, No.13), known as the Medical Care Availability and Reduction of Error (Mcare) Act, in insurance, providing for adverse actions against legal reproductive health care.",53,"House Judiciary",2023-10-24,"Referred to JUDICIARY",https://legiscan.com/PA/bill/HB1785/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1785
1781500,2035,HB1786,2,Engrossed,2023-11-15,"In bases of jurisdiction and interstate and international procedure, further providing for assistance to tribunals and litigants outside this Commonwealth with respect to service and for issuance of subpoena; in commencement of proceedings, further providing for authority of officers of another state to arrest in this Commonwealth; and, in detainers and extradition, further providing for definitions, for duty of Governor with respect to fugitives from justice and for presigned waiver of extradition.","An Act amending Title 42 (Judiciary and Judicial Procedure) of the Pennsylvania Consolidated Statutes, in bases of jurisdiction and interstate and international procedure, further providing for assistance to tribunals and litigants outside this Commonwealth with respect to service and for issuance of subpoena; in commencement of proceedings, further providing for authority of officers of another state to arrest in this Commonwealth; and, in detainers and extradition, further providing for definitions, for duty of Governor with respect to fugitives from justice and for presigned waiver of extradition.",77,"Senate Judiciary",2023-11-28,"Referred to JUDICIARY",https://legiscan.com/PA/bill/HB1786/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1786
1781494,2035,HB1787,1,Introduced,2023-10-24,"In public safety, establishing the Reproductive Health Services Address Confidentiality Program; and imposing penalties.","An Act amending Title 35 (Health and Safety) of the Pennsylvania Consolidated Statutes, in public safety, establishing the Reproductive Health Services Address Confidentiality Program; and imposing penalties.",53,"House Judiciary",2023-10-24,"Referred to JUDICIARY",https://legiscan.com/PA/bill/HB1787/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1787
1781471,2035,HB1788,1,Introduced,2023-10-24,"In dockets, indices and other records, further providing for enforcement of foreign judgments.","An Act amending Title 42 (Judiciary and Judicial Procedure) of the Pennsylvania Consolidated Statutes, in dockets, indices and other records, further providing for enforcement of foreign judgments.",53,"House Judiciary",2023-10-24,"Referred to JUDICIARY",https://legiscan.com/PA/bill/HB1788/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1788
1781504,2035,HB1789,1,Introduced,2023-10-24,"In powers and duties, providing for limitations on discipline.","An Act amending Title 63 (Professions and Occupations (State Licensed)) of the Pennsylvania Consolidated Statutes, in powers and duties, providing for limitations on discipline.",53,"House Judiciary",2023-10-24,"Referred to JUDICIARY",https://legiscan.com/PA/bill/HB1789/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1789
1781347,2035,HB1790,1,Introduced,2023-10-24,"Establishing the Office of Employee Ownership within the Department of Community and Economic Development; establishing the Main Street Employee Ownership Grant Program; and providing technical and financial assistance to employee-owned enterprises.","An Act establishing the Office of Employee Ownership within the Department of Community and Economic Development; establishing the Main Street Employee Ownership Grant Program; and providing technical and financial assistance to employee-owned enterprises.",1790,"House Labor And Industry",2023-10-24,"Referred to LABOR AND INDUSTRY",https://legiscan.com/PA/bill/HB1790/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1790
1781451,2035,HB1791,1,Introduced,2023-10-24,"In commercial protection, prohibiting confession of judgment provisions.","An Act amending Title 12 (Commerce and Trade) of the Pennsylvania Consolidated Statutes, in commercial protection, prohibiting confession of judgment provisions.",53,"House Judiciary",2023-10-24,"Referred to JUDICIARY",https://legiscan.com/PA/bill/HB1791/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1791
1781485,2035,HB1792,1,Introduced,2023-10-24,"In preliminary provisions, further providing for definitions; and, in protective provisions, providing for truth in lending.","An Act amending the act of January 30, 1974 (P.L.13, No.6), referred to as the Loan Interest and Protection Law, in preliminary provisions, further providing for definitions; and, in protective provisions, providing for truth in lending.",41,"House Commerce",2023-10-24,"Referred to COMMERCE",https://legiscan.com/PA/bill/HB1792/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1792
1781409,2035,HB1793,1,Introduced,2023-10-24,"A Joint Resolution proposing an amendment to the Constitution of the Commonwealth of Pennsylvania, further providing for qualifications of certain judges.","A Joint Resolution proposing an amendment to the Constitution of the Commonwealth of Pennsylvania, further providing for qualifications of certain judges.",53,"House Judiciary",2023-10-24,"Referred to JUDICIARY",https://legiscan.com/PA/bill/HB1793/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1793
1781461,2035,HB1794,1,Introduced,2023-10-24,"In collective bargaining, providing for conflicts of interest.","An Act amending the act of March 10, 1949 (P.L.30, No.14), known as the Public School Code of 1949, in collective bargaining, providing for conflicts of interest.",1790,"House Labor And Industry",2023-10-24,"Referred to LABOR AND INDUSTRY",https://legiscan.com/PA/bill/HB1794/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1794
1781655,2035,HB1795,4,Passed,2024-04-15,"Further providing for definitions and for exemptions.","An Act amending the act of September 26, 1951 (P.L.1539, No.389), known as The Clinical Laboratory Act, further providing for definitions and for exemptions.",0,,2024-04-15,"Act No. 6 of 2024",https://legiscan.com/PA/bill/HB1795/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1795
1781798,2035,HB1796,1,Introduced,2023-10-27,"In construction, improvement, maintenance and repair of State highways, further providing for duty on Department of Highways.","An Act amending the act of June 1, 1945 (P.L.1242, No.428), known as the State Highway Law, in construction, improvement, maintenance and repair of State highways, further providing for duty on Department of Highways.",61,"House Transportation",2023-10-27,"Referred to TRANSPORTATION",https://legiscan.com/PA/bill/HB1796/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1796
1781745,2035,HB1797,1,Introduced,2023-10-27,"In games of chance, further providing for prize limits, providing for raffle prize limits and further providing for licensing of eligible organizations and for special permits; and, in club licensees, further providing for distribution of proceeds.","An Act amending the act of December 19, 1988 (P.L.1262, No.156), known as the Local Option Small Games of Chance Act, in games of chance, further providing for prize limits, providing for raffle prize limits and further providing for licensing of eligible organizations and for special permits; and, in club licensees, further providing for distribution of proceeds.",49,"House Gaming Oversight",2023-10-27,"Referred to GAMING OVERSIGHT",https://legiscan.com/PA/bill/HB1797/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1797
1781853,2035,HB1798,2,Engrossed,2024-04-09,"Designating a bridge, identified as Bridge Key 8345, on that portion of U.S. Route 22 over Howells Run in Cambria Township, Cambria County, as the Michael G. Tsikalas Memorial Bridge; designating a bridge, identified as Bridge Key 8344, carrying U.S. Route 22 over Pennsylvania Route 160, also known as New Germany Road, in Cambria Township, Cambria County, as the Charles J. Vizzini Memorial Bridge; and making a repeal.","An Act designating a bridge, identified as Bridge Key 8345, on that portion of U.S. Route 22 over Howells Run in Cambria Township, Cambria County, as the Michael G. Tsikalas Memorial Bridge; designating a bridge, identified as Bridge Key 8344, carrying U.S. Route 22 over Pennsylvania Route 160, also known as New Germany Road, in Cambria Township, Cambria County, as the Charles J. Vizzini Memorial Bridge; and making a repeal.",85,"Senate Transportation",2024-04-22,"Referred to TRANSPORTATION",https://legiscan.com/PA/bill/HB1798/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1798
1781957,2035,HB1799,2,Engrossed,2024-04-15,"Authorizing local taxing authorities to provide for tax exemptions for improvements and redevelopment of shopping malls; establishing the Economic Development and Mixed-Use Redevelopment Advisory Committee within the State Planning Board; and conferring powers and imposing duties on the Department of Community and Economic Development.","An Act authorizing local taxing authorities to provide for tax exemptions for improvements and redevelopment of shopping malls; establishing the Economic Development and Mixed-Use Redevelopment Advisory Committee within the State Planning Board; and conferring powers and imposing duties on the Department of Community and Economic Development.",70,"Senate Community, Economic & Recreational Development",2024-04-22,"Referred to COMMUNITY, ECONOMIC AND RECREATIONAL DEVELOPMENT",https://legiscan.com/PA/bill/HB1799/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1799
1781976,2035,HB1800,1,Introduced,2023-10-30,"In public assistance, providing for work requirements for Medicaid enrollees.","An Act amending the act of June 13, 1967 (P.L.31, No.21), known as the Human Services Code, in public assistance, providing for work requirements for Medicaid enrollees.",1791,"House Human Services",2023-10-30,"Referred to HUMAN SERVICES",https://legiscan.com/PA/bill/HB1800/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1800
1782067,2035,HB1802,1,Introduced,2023-10-30,"In enforcement, further providing for powers and duties of enforcement officers.","An Act amending Title 34 (Game) of the Pennsylvania Consolidated Statutes, in enforcement, further providing for powers and duties of enforcement officers.",48,"House Game & Fisheries",2023-10-30,"Referred to GAME AND FISHERIES",https://legiscan.com/PA/bill/HB1802/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1802
1782071,2035,HB1803,1,Introduced,2023-10-31,"Providing for management of responsible outdoor night lighting; and imposing duties on the Department of General Services.","An Act providing for management of responsible outdoor night lighting; and imposing duties on the Department of General Services.",0,,2024-04-30,"Laid on the table",https://legiscan.com/PA/bill/HB1803/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1803
1782131,2035,HB1804,1,Introduced,2023-10-31,"In school health services, providing for parental notification of implementation of mental health services digital platform by school entity.","An Act amending the act of March 10, 1949 (P.L.30, No.14), known as the Public School Code of 1949, in school health services, providing for parental notification of implementation of mental health services digital platform by school entity.",44,"House Education",2023-10-31,"Referred to EDUCATION",https://legiscan.com/PA/bill/HB1804/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1804
1782145,2035,HB1805,1,Introduced,2023-10-31,"Providing for school counseling services.","An Act amending the act of March 10, 1949 (P.L.30, No.14), known as the Public School Code of 1949, providing for school counseling services.",44,"House Education",2023-10-31,"Referred to EDUCATION",https://legiscan.com/PA/bill/HB1805/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1805
1782187,2035,HB1806,1,Introduced,2023-10-31,"In public assistance, further providing for false statements, investigations and penalty; and imposing penalties.","An Act amending the act of June 13, 1967 (P.L.31, No.21), known as the Human Services Code, in public assistance, further providing for false statements, investigations and penalty; and imposing penalties.",0,,2024-06-11,"Laid on the table (Pursuant to House Rule 71)",https://legiscan.com/PA/bill/HB1806/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1806
1782197,2035,HB1807,1,Introduced,2023-11-02,"In primary and election expenses, further providing for reporting by candidate and political committees and other persons.","An Act amending the act of June 3, 1937 (P.L.1333, No.320), known as the Pennsylvania Election Code, in primary and election expenses, further providing for reporting by candidate and political committees and other persons.",59,"House State Government",2023-11-02,"Referred to STATE GOVERNMENT",https://legiscan.com/PA/bill/HB1807/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1807
1782288,2035,HB1808,1,Introduced,2023-11-02,"Further providing for closure of manufactured home communities.","An Act amending the act of November 24, 1976 (P.L.1176, No.261), known as the Manufactured Home Community Rights Act, further providing for closure of manufactured home communities.",4868,"House Housing and Community Development",2023-11-02,"Referred to HOUSING AND COMMUNITY DEVELOPMENT",https://legiscan.com/PA/bill/HB1808/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1808
1782280,2035,HB1809,1,Introduced,2023-11-08,"In trademarks, further providing for definitions, providing for Native American trademarks, establishing the Native American Trademarks Fund and providing for administrative powers and duties relating to Native American trademarks and for cancellation of marks.","An Act amending Title 54 (Names) of the Pennsylvania Consolidated Statutes, in trademarks, further providing for definitions, providing for Native American trademarks, establishing the Native American Trademarks Fund and providing for administrative powers and duties relating to Native American trademarks and for cancellation of marks.",59,"House State Government",2023-11-08,"Referred to STATE GOVERNMENT",https://legiscan.com/PA/bill/HB1809/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1809
1782311,2035,HB1810,1,Introduced,2023-11-02,"In open meetings, further providing for definitions and for public participation.","An Act amending Title 65 (Public Officers) of the Pennsylvania Consolidated Statutes, in open meetings, further providing for definitions and for public participation.",0,,2023-11-15,"Laid on the table",https://legiscan.com/PA/bill/HB1810/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1810
1782276,2035,HB1811,1,Introduced,2023-11-02,"In licensing of drivers, providing for communication impairment designation; conferring powers and imposing duties on the Department of Transportation; and imposing a penalty.","An Act amending Title 75 (Vehicles) of the Pennsylvania Consolidated Statutes, in licensing of drivers, providing for communication impairment designation; conferring powers and imposing duties on the Department of Transportation; and imposing a penalty.",61,"House Transportation",2023-11-02,"Referred to TRANSPORTATION",https://legiscan.com/PA/bill/HB1811/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1811
1782318,2035,HB1812,1,Introduced,2023-11-02,"Establishing the Tuition Waiver for Native American Students Program.","An Act amending the act of March 10, 1949 (P.L.30, No.14), known as the Public School Code of 1949, establishing the Tuition Waiver for Native American Students Program.",44,"House Education",2023-11-02,"Referred to EDUCATION",https://legiscan.com/PA/bill/HB1812/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1812
1782325,2035,HB1813,1,Introduced,2023-11-02,"In preliminary provisions, further providing for findings and statement of purpose and definitions; in Department of Conservation and Natural Resources, further providing for forests and for parks, providing for preserves and further providing for community recreation and heritage conservation.","An Act amending the act of June 28, 1995 (P.L.89, No.18), known as the Conservation and Natural Resources Act, in preliminary provisions, further providing for findings and statement of purpose and definitions; in Department of Conservation and Natural Resources, further providing for forests and for parks, providing for preserves and further providing for community recreation and heritage conservation.",56,"House Local Government",2023-11-02,"Referred to LOCAL GOVERNMENT",https://legiscan.com/PA/bill/HB1813/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1813
1782355,2035,HB1814,1,Introduced,2023-11-02,"Designating the second Monday in October each year as Indigenous Peoples' Day in this Commonwealth.","An Act designating the second Monday in October each year as Indigenous Peoples' Day in this Commonwealth.",59,"House State Government",2023-11-02,"Referred to STATE GOVERNMENT",https://legiscan.com/PA/bill/HB1814/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1814
1782351,2035,HB1815,1,Introduced,2023-11-02,"In general provisions, further providing for legal holidays; and making a repeal.","An Act amending the act of November 30, 1965 (P.L.847, No.356), known as the Banking Code of 1965, in general provisions, further providing for legal holidays; and making a repeal.",59,"House State Government",2023-11-02,"Referred to STATE GOVERNMENT",https://legiscan.com/PA/bill/HB1815/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1815
1782344,2035,HB1816,1,Introduced,2023-11-02,"Further providing for the designation of legal holidays; and making a repeal.","An Act amending the act of May 31, 1893 (P.L.188, No.138), referred to as the Legal Holiday Law, further providing for the designation of legal holidays; and making a repeal.",59,"House State Government",2023-11-02,"Referred to STATE GOVERNMENT",https://legiscan.com/PA/bill/HB1816/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1816
1782455,2035,HB1817,1,Introduced,2023-11-08,"In judicial change of name, further providing for court approval required for change of name and for change by order of court, providing for change by administrative application and further providing for effect on children.","An Act amending Title 54 (Names) of the Pennsylvania Consolidated Statutes, in judicial change of name, further providing for court approval required for change of name and for change by order of court, providing for change by administrative application and further providing for effect on children.",53,"House Judiciary",2023-11-08,"Referred to JUDICIARY",https://legiscan.com/PA/bill/HB1817/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1817
1782466,2035,HB1818,4,Passed,2024-06-28,"Further providing for advertisement of sale.","An Act amending the act of December 20, 1982 (P.L.1404, No.325), known as the Self-Service Storage Facility Act, further providing for advertisement of sale.",0,,2024-06-28,"Act No. 31 of 2024",https://legiscan.com/PA/bill/HB1818/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1818
1782375,2035,HB1819,2,Engrossed,2024-03-27,"Further providing for duties of board.","An Act amending the act of January 14, 1952 (1951 P.L.1898, No.522), known as the Funeral Director Law, further providing for duties of board.",71,"Senate Consumer Protection & Professional Licensure",2024-04-05,"Referred to CONSUMER PROTECTION AND PROFESSIONAL LICENSURE",https://legiscan.com/PA/bill/HB1819/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1819
1782399,2035,HB1820,4,Passed,2024-10-16,"Further providing for definitions, for practice without license prohibited, for eligibility requirements for examination, for limited licenses, for requirements of a school of cosmetology, for practice in licensed salons only, for booth rental prohibited, for fees, for applicability, for duration and renewal of licenses and for penalties.","An Act amending the act of May 3, 1933 (P.L.242, No.86), referred to as the Cosmetology Law, further providing for definitions, for practice without license prohibited, for eligibility requirements for examination, for limited licenses, for requirements of a school of cosmetology, for practice in licensed salons only, for booth rental prohibited, for fees, for applicability, for duration and renewal of licenses and for penalties.",0,,2024-10-16,"Act No. 100 of 2024",https://legiscan.com/PA/bill/HB1820/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1820
1782585,2035,HB1821,1,Introduced,2023-11-08,"In procedure and enforcement, further providing for summary proceedings.","An Act amending the act of June 22, 1937 (P.L.1987, No.394), known as The Clean Streams Law, in procedure and enforcement, further providing for summary proceedings.",45,"House Environmental Resources & Energy",2023-11-08,"Referred to ENVIRONMENTAL RESOURCES AND ENERGY",https://legiscan.com/PA/bill/HB1821/2023,https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2023&sind=0&body=H&type=B&bn=1821
